seed,alpha,rms_gospa,rms_missed,rms_false,final_birth_atoms,spurious_birth_atoms,birth_region_error
45,5.0,3.628033481933542,2.886751345948129,2.041241452319315,3,0,1.6246700019760363
45,10.0,3.6270343327471957,2.7950849718747373,2.165063509461097,4,0,1.1152342911279063
45,20.0,4.172990132703184,3.38501600193165,2.282177322938192,4,0,1.1767134872837646
46,1.0,6.9102806666380205,6.653633092779714,1.7677669529663689,1,0,25.516593803891173
46,2.0,4.353389719447948,3.679900360969936,2.165063509461097,2,0,1.5228466808561925
46,5.0,3.893325080187807,3.0618621784789726,2.282177322938192,3,0,1.1016052338071762
46,10.0,3.962699072418088,2.9755951785595207,2.5,4,0,1.0079019852943332
46,20.0,4.092022801159573,2.9755951785595207,2.7003086243366083,6,0,1.0079019852943332
47,1.0,7.103327380637051,6.7700320038633,2.041241452319315,1,0,25.743466787454715
47,2.0,4.246246924738453,3.227486121839514,2.6020824993326657,2,0,1.8221252589058423
47,5.0,4.119236667463214,2.9755951785595207,2.7003086243366083,3,0,1.5719362418284324
47,10.0,4.119236667463214,2.9755951785595207,2.7003086243366083,3,0,1.5719362418284324
47,20.0,4.304719586985132,2.9755951785595207,2.9755951785595207,6,0,1.5719362418284324
48,1.0,7.022805596802345,6.73145600891813,1.9094065395649333,2,0,18.998094470595678
48,2.0,4.495942736032595,3.608439182435161,2.5,3,0,1.419774660975916
48,5.0,4.863536529329495,3.8188130791298667,2.886751345948129,6,0,1.7477405084151902
48,10.0,4.36021137306069,2.9755951785595207,3.0618621784789726,8,0,1.1686623391827826
48,20.0,4.704938173639245,2.9755951785595207,3.5355339059327378,12,0,1.1686623391827826
49,1.0,7.097161646969752,6.846531968814577,1.7677669529663689,2,0,5.6373454270853385
49,2.0,5.577879406735098,4.841229182759271,2.6020824993326657,3,1,3.155951089713179
49,5.0,4.4031409414978295,3.5355339059327378,2.5,3,0,1.2222448901112093
49,10.0,4.574254570985205,3.608439182435161,2.7003086243366083,6,0,0.9866212304371665
49,20.0,4.796575675782919,3.608439182435161,3.0618621784789726,8,0,0.9866212304371665
50,1.0,7.249653553871754,6.922186552431729,2.041241452319315,6,0,21.152915776978165
50,2.0,7.249653553871754,6.922186552431729,2.041241452319315,6,0,21.152915776978165
50,5.0,4.753014263407736,3.952847075210474,2.5,5,0,1.339432602973289
50,10.0,4.698558482273955,3.5355339059327378,2.9755951785595207,8,1,1.339432602973289
50,20.0,4.8081304555944815,3.5355339059327378,3.1457643480294792,11,0,1.339432602973289
51,1.0,7.094408308471303,6.73145600891813,2.165063509461097,3,0,6.412472935932958
